station_id,n_train,tau_well,is_igp
114700075280001,74,3.7,False
114700075285001,14,3.7800000000000002,False
114955079260001,22,5.631000000000004,False
115050077445001,63,23.032,False
115115078050001,59,38.832,False
115200078051501,88,10.42,False
115204079100001,63,13.308000000000005,False
115300077503001,54,10.949,False
115300078550001,68,6.5360000000000005,False
115335078100001,14,16.634,False
115500078201001,89,10.134,False
115636078025301,4,9.5,False
115700078030001,61,11.79,False
115800078250001,47,39.94,False
115840078394501,5,22.02,False
120000078150001,92,15.708000000000002,False
120400075110001,37,9.416,False
120405075182001,17,13.892,False
120410075230401,21,13.01,False
120430075160001,96,10.455,False
120527075113901,17,2.876,False
120530075145601,17,14.18,False
120530075403001,73,3.792,False
120615079443001,41,6.51,False
120622075171301,17,12.42,False
120638075131001,21,6.62,False
120713075561901,24,13.639999999999999,False
120730075245001,94,4.297,False
120731075255001,43,13.008,False
121002075503601,24,6.468999999999999,False
121015075554501,18,12.338000000000001,False
121018075525201,24,2.197,False
121018075525202,25,11.916,False
121100079400001,62,5.109,False
121145079460001,64,7.080000000000001,False
121200079180001,9,6.026,False
121230078423001,63,9.240000000000002,False
121230079573001,60,6.571000000000001,False
121312078033401,41,12.32,False
121315078071501,84,14.18,False
121330079040001,77,5.720000000000001,False
121400079040001,4,6.98,False
121530078394501,90,8.905000000000001,False
121545078180001,67,9.219999999999999,False
121550078321001,45,11.568,False
121600078314501,19,4.829999999999999,False
121600078314502,13,12.312000000000001,False
121600078563001,74,9.987,False
121730078473001,50,9.76,False
121815078043001,56,15.344999999999999,False
121820078472001,9,10.76,False
121900079060001,12,14.625,False
122225075081201,19,6.516,False
122230075054501,60,10.551,False
122230075203001,95,13.028,False
122258075060101,17,9.156,False
122330076480001,84,1.6760000000000002,False
122343077043801,19,2.8899999999999997,False
122358075124001,95,3.622,False
122400076460001,93,7.276,False
122400077080001,75,8.566000000000004,False
122401075022001,98,10.0,False
122413075061001,13,11.8,False
122430076352501,20,2.488,False
122431076461101,22,2.362000000000002,False
122500075450002,22,3.605,False
122500076480001,92,3.0820000000000003,False
122515076410501,46,5.4,False
122543076423901,6,7.92,False
122615075482501,14,11.366,False
122615075550502,87,17.169999999999998,False
122622075514301,23,9.8,False
122628076494801,5,2.71,False
122655075492501,89,5.74,False
122658075382201,76,1.68,False
122729075572901,24,10.966,False
122840078272001,75,21.220000000000002,False
122850075451801,67,4.164,False
122946075571201,18,3.614000000000002,False
123000079380001,87,7.288,False
123008079362001,62,5.257999999999999,False
123015075563001,4,3.2540000000000004,False
123040078015101,24,11.049999999999999,False
123100079080001,60,9.98,False
123130077470001,74,11.513000000000002,False
123145077473001,61,11.2,False
123150078135001,66,15.7,False
123205078025601,15,11.290000000000001,False
123206079070801,41,17.3,False
123230078213001,56,44.175,False
123245078213001,43,11.888000000000002,False
123330079210001,34,10.674999999999999,False
123400077540001,89,8.428,False
123414079260001,8,5.914999999999999,False
123445077393001,39,5.142000000000001,False
123530079373001,64,7.461,False
123610077515001,34,7.241,False
123811075082401,18,9.771,False
123842075063101,23,9.06,False
123850075050001,96,11.205,False
123904074552501,13,7.816,False
123909074592401,20,10.365,False
123911074551801,19,12.884,False
123920074571101,22,10.98,False
123948075015401,19,10.86,False
124026075070901,20,12.01,False
124029074574501,19,11.044,False
124030076053001,68,9.423,False
124043075021401,19,6.42,False
124043076324901,22,12.7,False
124048074542601,22,14.483,False
124110078362001,30,7.647,False
124130078373001,74,7.42,False
124159076035201,15,10.998000000000001,False
124200076332001,29,19.328,False
124200078483001,45,16.33,False
124210078490001,58,16.232000000000003,False
124220075535301,23,4.73,False
124300076470001,95,7.888000000000006,False
124300076580001,29,4.84,False
124330075534501,97,6.848000000000001,False
124330078393001,85,12.68,False
124400077484501,25,8.238,False
124528075540101,24,13.315999999999999,False
124550078531501,4,13.600000000000001,False
124600076030001,66,15.08,False
124600076070001,40,19.1,False
124600079160001,39,8.856000000000003,False
124600079244501,76,13.7,False
124605076022001,19,4.7299999999999995,False
124606076025401,19,6.004,False
124619076084401,24,12.038,False
124620076004001,18,16.034,False
124630076033001,36,11.89,False
124654075564701,24,8.565,False
124715079360001,22,10.971,False
125600079210001,58,1.453,False
125615078433001,32,19.735,False
125630078433001,42,11.274999999999997,False
125638076231901,18,5.7,False
125641076035001,22,4.593,False
125645075530001,94,9.01,False
125700075470002,24,5.821,False
125700076480001,98,5.894,False
125720078594001,76,18.465,False
125721075475601,15,8.524000000000001,False
125724075443401,23,10.466000000000001,False
125730078370001,77,11.798,False
125732076231301,9,18.212000000000007,False
125740078584801,61,19.45,False
125832076015401,10,33.929,False
125919078060101,15,0.608,False
125920076133001,90,6.987000000000001,False
125921076025501,6,9.06,False
125930076030001,53,17.442,False
125930078163001,19,10.19,False
130345079514501,69,3.4200000000000004,False
130345080034501,87,6.57,False
130345080164501,47,2.754,False
130400079580001,88,7.704,False
130400080081501,68,7.36,False
130400080134001,55,10.984,False
130600079260001,86,9.82,False
130639076114001,8,31.377,False
130640079253501,39,8.336,False
130725078180001,51,4.43,False
130811075581001,24,8.552999999999999,False
130827078062401,50,5.839,False
130852079115401,4,2.081,False
130900076134001,56,6.734999999999999,False
130900076134002,21,10.42,False
130900078240001,47,21.843999999999987,False
130927079022901,20,10.0,False
131215080104501,75,6.7,False
131230079450001,89,7.202,False
131245079293001,49,16.16,False
131916074524301,20,11.66,False
131935079110901,4,21.114,False
131938076181901,14,9.18,False
131953079055801,15,9.7,False
132010079164501,77,14.12,False
132015077593001,49,28.298000000000002,False
132400080080002,77,6.24,False
132509074491301,10,14.152,False
132830079025001,95,10.0,False
132854079024201,15,7.822,False
132930077281501,52,12.72,False
132935078093501,26,9.5,False
133015078425501,43,4.886000000000002,False
133020078420001,44,10.116,False
133030077573001,68,41.006,False
133100078384801,29,10.57,False
133117079225101,13,10.890000000000004,False
133138079043401,4,6.163,False
133200078300001,58,18.15,False
133200078542001,81,2.5,False
133220077362001,91,6.39,False
133259079312501,5,9.22,False
133300077453001,82,13.3,False
133300079330001,77,10.25,False
133311078314501,20,14.850000000000001,False
133400079140001,75,9.858,False
134911074380401,24,4.771,False
134935074480701,20,10.455000000000002,False
134955074443901,19,8.51,False
135003074441001,25,7.28,False
135145076081001,22,15.15,False
135145076180501,22,8.788,False
135330076183001,31,9.44,False
135425079440001,86,3.98,False
135724077063001,22,10.726000000000006,False
