station_id,count,min,max,span_days,median_gap_days
301840076504601,5,2015-11-05,2022-05-20,2388,540.0
301930073563001,6,2014-01-05,2015-05-15,495,102.0
301940076540001,17,1994-05-01,2018-11-01,8950,163.5
301947076425201,1,2023-01-01,2023-01-01,0,
301950077514401,57,1994-11-01,2018-05-30,8611,102.0
302042076383001,14,2019-05-20,2023-01-01,1322,80.0
302055074152501,29,1994-05-01,2001-05-15,2571,92.0
302100076211503,9,2013-01-05,2021-01-10,2927,146.5
302110076183001,55,2007-08-25,2022-05-20,5382,88.5
302122076143501,36,2012-11-05,2023-01-01,3709,92.0
